id_str,user_id_str,in_reply_to_status_id_str,in_reply_to_user_id_str,created_at,in_reply_to_screen_name,source,user_name,user_screen_name,user_created_at,user_statuses_count,user_description,user_location,user_verified,user_followers_count,user_friends_count,user_url,text,entities_hashtags,entities_urls,entities_user_mentions,retweeted_status_id
1481959281930997767,3366464453,,,2022-01-14 12:00:00+00:00,,Twitter for iPhone,"Hal Burstein, MD",DrHBurstein,Wed Jul 08 19:42:48 +0000 2015,6775,Breast cancer specialist and professor @DanaFarber Cancer Institute and @HarvardMed. Tweets are my own and not medical advice. COI disclosure: no COI.,"Boston, MA",False,8236,455,http://t.co/OAsmpJaPqE,The big story here is @CMSGov disagreeing with @US_FDA   Usually they just say “ok” and agree to pay. An extreme ca… https://t.co/sFeYJWzhGF,[],"[{'url': 'https://t.co/sFeYJWzhGF', 'expanded_url': 'https://twitter.com/i/web/status/1481959281930997767', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","[{'screen_name': 'CMSGov', 'name': 'CMSGov', 'id': 70837868, 'id_str': '70837868', 'indices': [22, 29]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [47, 54]}]",
1481743252030173188,28824136,1481741807235092484,964268621655695360,2022-01-13 21:41:35+00:00,BijoyTelivala,Twitter for Android,Ash Paul,pash22,Sat Apr 04 16:39:49 +0000 2009,295931,"Public Hlth Dr,interested in evid-based health services commissioning,clinical leadership & hlth policy.My views are my own,RTs are no endorsements",United Kingdom,False,29538,32494,,"@BijoyTelivala @signaturedoc @biogen @barttels2 @adamfeuerstein Not without active help from @US_FDA . Chk out ""Ins… https://t.co/HKLYqiGRAr",[],"[{'url': 'https://t.co/HKLYqiGRAr', 'expanded_url': 'https://twitter.com/i/web/status/1481743252030173188', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","[{'screen_name': 'BijoyTelivala', 'name': 'Bijoy Telivala', 'id': 964268621655695360, 'id_str': '964268621655695360', 'indices': [0, 14]}, {'screen_name': 'signaturedoc', 'name': 'Ronald Hirsch, MD 💉 #VaxxedToTheMax 💉', 'id': 58976546, 'id_str': '58976546', 'indices': [15, 28]}, {'screen_name': 'biogen', 'name': 'Biogen', 'id': 155650832, 'id_str': '155650832', 'indices': [29, 36]}, {'screen_name': 'barttels2', 'name': 'barttels', 'id': 3497730012, 'id_str': '3497730012', 'indices': [37, 47]}, {'screen_name': 'adamfeuerstein', 'name': 'Adam Feuerstein 💉', 'id': 102094857, 'id_str': '102094857', 'indices': [48, 63]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [93, 100]}]",
1481739789867139074,1296132239105941504,,,2022-01-13 21:27:49+00:00,,Twitter for Android,iordananutarusu@gmail.com,iordananutarus1,Wed Aug 19 17:10:01 +0000 2020,34869,,,False,155,1214,,RT @pash22: @barttels2 @MadhavThambiset @biogen @CMSGov @cecelou18 @alzassociation @ProfRobHoward @jasonkarlawish @LonSchneiderMD @DrSinhaE…,[],[],"[{'screen_name': 'pash22', 'name': 'Ash Paul', 'id': 28824136, 'id_str': '28824136', 'indices': [3, 10]}, {'screen_name': 'barttels2', 'name': 'barttels', 'id': 3497730012, 'id_str': '3497730012', 'indices': [12, 22]}, {'screen_name': 'MadhavThambiset', 'name': 'Madhav Thambisetty', 'id': 1891603776, 'id_str': '1891603776', 'indices': [23, 39]}, {'screen_name': 'biogen', 'name': 'Biogen', 'id': 155650832, 'id_str': '155650832', 'indices': [40, 47]}, {'screen_name': 'CMSGov', 'name': 'CMSGov', 'id': 70837868, 'id_str': '70837868', 'indices': [48, 55]}, {'screen_name': 'cecelou18', 'name': 'Celine Castronuovo', 'id': 770286434385268736, 'id_str': '770286434385268736', 'indices': [56, 66]}, {'screen_name': 'alzassociation', 'name': ""Alzheimer's Association"", 'id': 21121491, 'id_str': '21121491', 'indices': [67, 82]}, {'screen_name': 'ProfRobHoward', 'name': 'Robert Howard', 'id': 4226927423, 'id_str': '4226927423', 'indices': [83, 97]}, {'screen_name': 'jasonkarlawish', 'name': 'Jason Karlawish', 'id': 218609170, 'id_str': '218609170', 'indices': [98, 113]}, {'screen_name': 'LonSchneiderMD', 'name': 'Lon S. Schneider, MD', 'id': 254761995, 'id_str': '254761995', 'indices': [114, 129]}]",1481739124524699659
1481739124524699659,28824136,1481734531224723456,3497730012,2022-01-13 21:25:11+00:00,barttels2,Twitter for Android,Ash Paul,pash22,Sat Apr 04 16:39:49 +0000 2009,295931,"Public Hlth Dr,interested in evid-based health services commissioning,clinical leadership & hlth policy.My views are my own,RTs are no endorsements",United Kingdom,False,29538,32494,,@barttels2 @MadhavThambiset @biogen @CMSGov @cecelou18 @alzassociation @ProfRobHoward @jasonkarlawish… https://t.co/BlMgR8lfIF,[],"[{'url': 'https://t.co/BlMgR8lfIF', 'expanded_url': 'https://twitter.com/i/web/status/1481739124524699659', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [103, 126]}]","[{'screen_name': 'barttels2', 'name': 'barttels', 'id': 3497730012, 'id_str': '3497730012', 'indices': [0, 10]}, {'screen_name': 'MadhavThambiset', 'name': 'Madhav Thambisetty', 'id': 1891603776, 'id_str': '1891603776', 'indices': [11, 27]}, {'screen_name': 'biogen', 'name': 'Biogen', 'id': 155650832, 'id_str': '155650832', 'indices': [28, 35]}, {'screen_name': 'CMSGov', 'name': 'CMSGov', 'id': 70837868, 'id_str': '70837868', 'indices': [36, 43]}, {'screen_name': 'cecelou18', 'name': 'Celine Castronuovo', 'id': 770286434385268736, 'id_str': '770286434385268736', 'indices': [44, 54]}, {'screen_name': 'alzassociation', 'name': ""Alzheimer's Association"", 'id': 21121491, 'id_str': '21121491', 'indices': [55, 70]}, {'screen_name': 'ProfRobHoward', 'name': 'Robert Howard', 'id': 4226927423, 'id_str': '4226927423', 'indices': [71, 85]}, {'screen_name': 'jasonkarlawish', 'name': 'Jason Karlawish', 'id': 218609170, 'id_str': '218609170', 'indices': [86, 101]}]",
1481725237301547009,54996514,,,2022-01-13 20:30:00+00:00,,Sprinklr,BU Experts,BUexperts,Wed Jul 08 19:15:46 +0000 2009,10785,"News, information, expert commentary and research from Boston University Public Relations. Find a @BU_Tweets expert: https://t.co/TrDz1y1zTX",Boston,False,8319,8191,https://t.co/OaxtYclurJ,"While @US_FDA's accelerated approval pathway aims to help patients access promising treatments safely, problems are… https://t.co/kuO2fdpyLJ",[],"[{'url': 'https://t.co/kuO2fdpyLJ', 'expanded_url': 'https://twitter.com/i/web/status/1481725237301547009', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","[{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [6, 13]}]",
1481694983937662981,2166933879,1481694777619873793,2166933879,2022-01-13 18:29:47+00:00,zenbrainest,Twitter Web App,BryanRoth,zenbrainest,Sun Nov 03 20:49:26 +0000 2013,20043,"“It’s easy to see the beginnings of things, and harder to see the ends.” Joan Didion",Where else?,False,9139,400,https://t.co/ih8ND825Ez,"""Some of the outcome measures used we (the FDA) have never used for drug approval"" @US_FDA",[],[],"[{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [83, 90]}]",
1481681006621085701,1092807833102569476,,,2022-01-13 17:34:14+00:00,,Twitter for iPhone,Priyanka Konanur,PriyankaKonanur,Tue Feb 05 15:31:05 +0000 2019,1407,Grassroots Manager for @ACSCAN_MD @ACSCAN_DC @ACSCANDE. MPH Candidate @ #GWSPH. she/her 🏳️‍🌈#BLM Tweets and views are my own.,"Washington, DC",False,188,339,,RT @abcrispino: The @US_FDA plays an important role in the fight against cancer. Committee confirmation of Dr. Califf today an important st…,[],[],"[{'screen_name': 'abcrispino', 'name': 'Alissa Crispino', 'id': 21788993, 'id_str': '21788993', 'indices': [3, 14]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [20, 27]}]",1481675921291681796
1481675921291681796,21788993,,,2022-01-13 17:14:02+00:00,,TweetDeck Web App,Alissa Crispino,abcrispino,Tue Feb 24 19:50:10 +0000 2009,939,"She/her. VP, Advocacy Comms & Policy for American Cancer Society Cancer Action Network. Mom. Former journo. NU Alum. Musical theater nerd. Opinions are my own.","Washington, D.C.",False,448,781,,The @US_FDA plays an important role in the fight against cancer. Committee confirmation of Dr. Califf today an impo… https://t.co/Stq3f9R9xG,[],"[{'url': 'https://t.co/Stq3f9R9xG', 'expanded_url': 'https://twitter.com/i/web/status/1481675921291681796', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","[{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [4, 11]}]",
1481551933362130947,775519985921888256,,,2022-01-13 09:01:21+00:00,,Twitter Web App,“Never Impeached” Ninnymuggins,colormesheesh,Tue Sep 13 02:22:27 +0000 2016,63028,A heart that’s full up like a landfill. Dormez- vous. Abolish Prisons & 4-Profit Insur. & Medicine. Equal Rights 4 All. #M4A. Dharma + Science. RT ≠ Endorsement,,False,1954,4999,https://t.co/yOP0eBgDxq,"RT @hays_ag: @JudahWorldChamp @denise_dewald @CDCDirector -yeah nah-less than a cat whisker
WTF is going on with @CDCgov ?
Prolly way to mu…",[],[],"[{'screen_name': 'hays_ag', 'name': 'AG_Hays 2', 'id': 1238977822821138432, 'id_str': '1238977822821138432', 'indices': [3, 11]}, {'screen_name': 'JudahWorldChamp', 'name': 'Judah Friedlander', 'id': 28744383, 'id_str': '28744383', 'indices': [13, 29]}, {'screen_name': 'denise_dewald', 'name': 'Denise Dewald, MD 🗽', 'id': 760219193195302912, 'id_str': '760219193195302912', 'indices': [30, 44]}, {'screen_name': 'CDCDirector', 'name': 'Rochelle Walensky, MD, MPH', 'id': 426909329, 'id_str': '426909329', 'indices': [45, 57]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [113, 120]}]",1481433877554118661
1481433877554118661,1238977822821138432,1481376154397380608,28744383,2022-01-13 01:12:14+00:00,JudahWorldChamp,Twitter Web App,AG_Hays 2,hays_ag,Sun Mar 15 00:00:22 +0000 2020,15055,inquisitive cosmopolitan NYer,,False,202,363,,"@JudahWorldChamp @denise_dewald @CDCDirector -yeah nah-less than a cat whisker
WTF is going on with @CDCgov ?
Proll… https://t.co/xH5nctHcZn",[],"[{'url': 'https://t.co/xH5nctHcZn', 'expanded_url': 'https://twitter.com/i/web/status/1481433877554118661', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","[{'screen_name': 'JudahWorldChamp', 'name': 'Judah Friedlander', 'id': 28744383, 'id_str': '28744383', 'indices': [0, 16]}, {'screen_name': 'denise_dewald', 'name': 'Denise Dewald, MD 🗽', 'id': 760219193195302912, 'id_str': '760219193195302912', 'indices': [17, 31]}, {'screen_name': 'CDCDirector', 'name': 'Rochelle Walensky, MD, MPH', 'id': 426909329, 'id_str': '426909329', 'indices': [32, 44]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [100, 107]}]",
